,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,CÁNCER DE TESTÍCULO EN PERSONAS DE 15 AÑOS Y MÁS,Amfotericina B ,Amikacina ,Bleomicina,Carboplatino,Cefazolina,Ceftriaxona ,Cisplatino,Cloxacilina ,Dexametasona,Etopósido,Filgrastim,Fluconazol ,Fosfamida,Furosemida,Heparina de bajo peso molecular,Ketoprofeno,Manitol,Mesna,Metronidazol ,Omeprazol,Ondansetrón,Terapia de reemplazo hormonal,Testosterona ,Tramadol,Vinblastina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,LINFOMA EN PERSONAS DE 15 AÑOS Y MÁS,Ácido folínico,Amikacina ,Bleomicina vesicante,Carboplatino,Ceftazidima ,Ceftriaxona ,Ciclofosfamida,Cisplatino,Citarabina,Clorambucil,Clorfenamina,Cotrimoxazol forte,Dacarbazina,Dexametasona,Doxorrubicina,Etopósido,Filgrastin,Fluconazol ,Fludarabina,Ifosfamida,Imipenen ,Mesna,Metilprenisolona,Metotrexato,Mitoxantrona,Omeprazol,Ondansetrón,Paracetamol,Prednisona,Rituximab,Suero Fisiológico,Vancomicina ,Vincristina,,,,,,,,,,,,,,,,,,,,,,
18,SINDROME DE LA INMUNODEFICIENCIA ADQUIRIDA VIH/SIDA,Abacavir,Abacavir/ Lamivudina,Atazanavir,Darunavir,Didanosina,Efavirenz,Enfuvirtida,Etravirina,Fosamprenavir,Lamivudina,Lamivudina/Zidovudina,Lamivudina/Zidovudina/Abacavir,Lopinavir/ Ritonavir,Maraviroc,Nevirapina,Raltegravir,Ritonavir,Saquinavir,Tenofovir,Tenofovir/Emtricitabina,Zidovudina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,NEUMONÍA ADQUIRIDA EN LA COMUNIDAD DE MANEJO AMBULATORIO EN PERSONAS DE 65 AÑOS Y MÁS,Amoxicilina + Ác. clavulánico,Claritromicina,Salbutamol ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,HIPERTENSIÓN ARTERIAL PRIMARIA O ESENCIAL EN PERSONAS DE 15 AÑOS Y MÁS,Ácido acetilsalicílico,Atenolol,Bloqueador canal Ca ,Enalapril,Espironolactona,Estatinas,Furosemida,Hidroclorotiazida,Losartán,Propanolol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,CÁNCER GÁSTRICO,Cefazolina,Ketoprofeno,Midazolam,Omeprazol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,CÁNCER DE PRÓSTATA EN PERSONAS DE 15 AÑOS Y MÁS,Agonistas de la hormona liberadora de LH,Bicalutamida,Bifosfonatos,Flutamida,Heparina de bajo peso molecular ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,DEPRESION EN PERSONAS DE 15 AÑOS Y MÁS,Bupropión,Clonazepam,Diazepam,Escitalopram,Fluoxetina,Haloperidol,Lamotrigina,Lorazepam,Metilfenidato,Modafinilo,Olanzapina,Paroxetina,Quetiapina,Risperidona,Sertralina,Venlafaxina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,TRATAMIENTO DE LA HIPERPLASIA BENIGNA DE LA PRÓSTATA EN PERSONAS SINTOMÁTICAS,Cefazolina,Ciprofloxacino,Doxazosina,Dutasteride,Finasteride,Ketoprofeno,Paracetamol,Tamsulosina,Tamsulosina/Dutasteride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,ACCIDENTE CEREBROVASCULAR ISQUEMICO EN PERSONAS DE 15 AÑOS Y MÁS,Acenocumarol,Ácido Acetilsalicilico,Anticoagulantes orales,Clopidogrel,Estatinas,Heparina sódica,Hidroclorotiazida,Inhibidores de ECA,Labetalol,Warfarina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA DE TRATAMIENTO AMBULATORIO,Amoxicilina clavulánico,Budesonida,Claritromicina,Hidrocortisona Succinato,Ipratropio Bromuro,Prednisona,Salbutamol,Salmeterol ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"TRATAMIENTO MÉDICO EN PERSONAS DE 55 AÑOS Y MÁS CON ARTROSIS DE CADERA Y/O RODILLA, LEVE O MODERADA",Betametasona ,Celecoxib,Diclofenaco,Ibuprofeno,Omeprazol,Paracetamol,Tramadol,Triamcinolona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,HEMORRAGIA SUBARACNOIDEA SECUNDARIA A RUPTURA DE ANEURISMAS CEREBRALES,Betatametasona,Calcio gluconato,Cefazolina,Clorpromazina clorhidrato,Diazepam,Dopamina,Famotidina,Fentanilo citrato,Furosemida,Haloperidol,Heparina BPM,Ketoprofeno,Midazolam,Morfina clorhidrato,Nimodipino,Noradrenalina,Omeprazol,Paracetamol,Ranitidina,Tiamina clorhidrato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,TUMORES PRIMARIOS DEL SISTEMA NERVIOSO CENTRAL EN PERSONAS DE 15 AÑOS Y MÁS,Corticoides,Ácido Valproico,Cabergolina,Carbonato de calcio,Bifosfonato,Bromocriptina,Corticotrofina,Análogo somatostatina,Carbamazepina,Cortisol,Desmopresina,Dexametasona ,Estrógeno terapia,Fenitoína,Fenobarbital,Heparina BPM,Hidrocortisona,Ketoconazol,Ketoprofeno,Ketorolaco,Levotiroxina,Metamizol sódico,Metoclopramida,Midazolam,Morfina clorhidrato,Omeprazol,Paracetamol,Testerona,Testosterona,,,,,,,,,,,,,,,,,,,,,,,,,,
44,TRATAMIENTO QUIRURGICO HERNIA NUCLEO PULPOSO LUMBAR,AINES ,Cefazolina ,Clormezanona,Corticoides ,Paracetamol,Relajante Muscular ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,LEUCEMIA EN PERSONAS DE 15 AÑOS Y MÁS,Acido Folinico,Alopurinol,Amikacina,Asparaginasa,ATRA (ácido trans-retinóico),Bloqueador H2 de la histamina,Bloqueadores de los receptores 5- HT3,Ceftazidima,Ceftriaxona,Ciclosfosfamida,Citarabina,Clorambucil,Cloxacilina,Cotrimoxazol,Dasatinib / Nilotinib,Daunorrubicina,Dexametasona,Doxorrubicina,Factor estimulante de colonia,Fluconazol,Fluradabina,Hidroxiurea ,Ifosfamida,Imatinib,Inmunoglobulina humana,Loperamida,Mercaptopurina,Mesna,Metotrexato,Mitoxantrona,Prednisona,Suero Fisiologico,Tioguanina,Vacuna antineumococica,Vancomicina,Vincristina,,,,,,,,,,,,,,,,,,,
46,URGENCIAS ODONTOLÓGICAS AMBULATORIAS,Amoxicilina,Amoxicilina/Ác. Clavulánico,Clindamicina,Ibuprofeno,Metronidazol,Paracetamol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,POLITRAUMATIZADO GRAVE,Ácido fólico,Amikacina sulfato,Antibióticos de 3ª Gen.,Antiespasmódico,Betametasona ,Bupivacaína Isobara,Calcio gluconato,Cefazolina,Cefoperazona/Sulbactam,Ceftriaxona,Cianocobalamia,Ciprofloxacino,Clindamicina fosfato,Cloramfenicol succinato,Clorpromazina clorhidrato,Cloxacilina sódica,Diazepam,Dopamina,Enalapril,Etomidato,Fentanilo citrato,Fitoquinona,Furosemida,Gentamicina,Glutamina,Haloperidol,Heparina BPM,Hidrocortisona succinato,Imipenem Cilastatina,Inhibidores bomba de protones,Inhibidores de la ECA,Inmunoglobulina Antítetánica,Insulina Cristalina,Ketamina,Ketoprofeno,Ketorolaco,Lidocaína clorhidrato,Metamizol,Metoclopramida,Metronidazol,Midazolam,Morfina clorhidrato,Noradrenalina,Omeprazol,Penicilina G,Petidina Clorhidrato,Piridoxina clorhidrato,Potasio cloruro,Sacharomyces boulardii liofilizado,Suero antitetánico,Sulperazon,Tiamina clorhidrato,Tramadol,Vancomicina clorhidrato,Vecuronio
49,TRAUMATISMO CRÁNEO ENCEFÁLICO MODERADO O GRAVE,Acido folico,Antiespasmódico ,Atracurio besilato,Atropina,Betatametasona fosfato,Bicarbonato,Bloqueadores H2 de la Histamina,Bupivacaina Hiperbarica,Calcio gluconato,Ceftazidima,Ceftriaxona,Ciprofloxacino,Clindamicina fosfato,Clordiazepoxido,Clorpromazina clorhidrato,Cloxacilina sodica,Diazepam,Dopamina,Fenitoina sodica,Fentanilo citrato,Fitoquinona,Flumazenil,Furosemida,Haloperidol,Heparina,Hidrocortisona succinato,Lidocaina clorhidrato,Metamizol sodico,Metoclopramida,Metronidazol,Midazolam,Naloxona ,Noradrenalina,Pancuronio,Petina clorhidrato,Salbutamol,Tiamina clorhidrato,,,,,,,,,,,,,,,,,,
50,TRAUMA OCULAR GRAVE,Antiprostaglandinas,Cefazolina,Ceftazidima ,Ciprofloxacino,Clindamicina,Dorzolamida/Timolol,Moxifloxacino,Prednisolona,Prednisona,Tobramicina/Dexametasona,Vancomicina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,FIBROSIS QUISTICA,Ácido Ursodesoxicólico,Alendronato ,Amikacina,Amoxicilina/Ác. clavulánico,Azitromicina,Calcio,Ceftazidima,Ciprofloxacino,Clindamicina,Cloxacilina,Flucloxacilina,Fluticasona,Fluticasona/salmeterol,Gentamicina,Imipenem,Itraconazol,Linezolid,Nebulización Rh-Dornasa-Alfa,Prednisona ,Ranitidina,Salbutamol,Tobramicina ,Vacuna Anti Hepatitis A,Vacuna Antivaricela,Vacuna Pneumococcica,Vancomicina,Vitaminas Liposolubles aquaA.D.E.K.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,ARTRITIS REUMATOIDEA,Ácido Fólico,Azatioprina,Betametasona,Calcio y Vitamina D,Celecoxib,Diclofenaco,Hidroxicloroquina,Ibuprofeno,Leflunomida,Metotrexato,Omeprazol,Paracetamol,Prednisona,Sulfasalazina,Tramadol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,GRAN QUEMADO,Adrenalina,Albumina Humana,Amiodarona,Amitriptilina,Antiespasmodico ,Atropina Sulfato,Calcio gluconato,Caspofungina,Cefazolina,Ceftazidima,Cetirizina,Clindamicina fosfato,Clorfenamina,Diazepam,Dobutamina Clorhidrato,Dopamina,Fluconazol,Furosemida,Gabapentina ,Haloperidol,Heparina,Heparina Bajo Peso Molecular,Hidroxicina  ,Imipen-Cilastina,Ketoprofeno,Lidocaina clorhidrato,Metamizol sodico,Metoclopramida,Midazolam,Morfina clorhidrato,Noradrenalina,Parches Lidocaina ,Polivitaminicos,Ranitidina,Sodio Bicarbonato,Sulbactan/cefaperazona,Sulfato Magnesio,Suplemento Nutricional,Tramadol,Trimebutina,Vancomicina,Vitamina C,Vitamina K,,,,,,,,,,,,
60,EPILEPSIA NO REFRACTARIA 15 AÑOS Y MÁS,Ácido Fólico,Ácido Valproico,Carbamazepina,Clonazepam,Fenitoína,Fenobarbital,Lamotrigina,Levetiracetam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,ASMA BRONQUIAL 15 AÑOS Y MÁS,Amoxicilina,Budesonida,Budesonida Nasal,Desloratadina,Fluticasona/Salmeterol,Ipratropio Bromuro,Omeprazol,Prednisona,Salbutamol,Teofilina ANH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,ENFERMEDAD DE PARKINSON,Clorhidrato de Pramipexole,Levodopa-Benserazida,Levodopa-Carbidopa,Quetiapina,Trihexifenidilo Clorhidrato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PREVENCIÓN SECUNDARIA ENFERMEDAD RENAL CRÓNICA TERMINAL,Ácido acetilsalicílico,Atorvastatina,Captopril,Enalapril,Furosemida,Hidroclorotiazida,Losartán Potásico,Lovastatina,Pravastatina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,ESCLEROSIS MULTIPLE REMITENTE RECURRENTE,AINES,Baclofeno,Inmunomodulador,Metilprednisolona,Modafinilo,Omeprazol,Oxibutina,Prednisona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,HEPATITIS CRÓNICA POR VIRUS HEPATITIS B,Vacuna Hepatitis A,Entecavir,Peginterferón Alfa 2a ó 2b,Tenofovir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,VIRUS HEPATITIS C,Peginterferón alfa 2A,Peginterferón alfa 2B,Ribavirina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,CÁNCER COLORECTAL EN PERSONAS DE 15 AÑOS Y MÁS,5-Fluorouracilo,Antiemético ,Bloquedores De Los Receptores 5 - HT3,Capecitabina,Cefazolina,Ciprofloxacino,Domperidona,Heparina de bajo peso molecular,Inhibidor bomba de protones ,Ketoprofeno,Ketorolaco,Laxante evacuante intestinal,Leucovorina,Loperamida,Metronidazol,Morfina,Ondansetrón,Oxaliplatino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,CÁNCER DE OVARIO EPITELIAL,Amikacina ,Antiemético ,Bloquedores de los Receptores 5 - HT3,Bloquedores de los Receptores H2,Carboplatino,Cefazolina,Ceftriaxona ,Cisplatino,Clorfenamina,Cloxacilina ,Dexametasona,Docetaxel,Doxorrubicina Pegilada,Factor Estimulante de Colonias,Fluconazol ,Furosemida,Gemcitabina,Heparina de bajo peso molecular,Inhibidor de la Bomba de Protones,Ketoprofeno,ketorolaco,Manitol,Morfina,Omeprazol,Ondansetrón,Paclitaxcel,Tamoxifeno,Taxano,Topotecan,,,,,,,,,,,,,,,,,,,,,,,,,,
72,CÁNCER VESICAL EN PERSONAS DE 15 AÑOS Y MÁS,5-Fluorouracilo,Ácido Folinico,Amikacina ,BCG instilación,Cefazolina,Ceftriaxona ,Cisplatino,Cloxacilina ,Dexametasona,Factor estimulante de colonia,Fluconazol ,Furosemida,Gemcitabina,Heparina,Ketoprofeno,Manitol,Metotrexato,Mitomicina intravesical,Morfina,Omeprazol,Ondansetrón,Vinblastina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,OSTEOSARCOMA EN PERSONAS DE 15 AÑOS Y MÁS,Amikacina ,Antiemético ,Betametasona,Bloquedores de los Receptores 5 - HT3,Cefazolina,Ceftriaxona ,Cisplatino,Cloxacilina ,Doxorubicina,Factor Estimulante de Colonias,Fluconazol ,Furosemida,Ifosfamida,Inhibidor Bomba de Protones ,ketoprofeno,Ketoprofeno / Ketorolaco ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,TRATAMIENTO QUIRÚRGICO DE LESIONES DE LA VÁLVULA AÓRTICA EN PERSONAS DE 15 AÑOS Y MÁS,Ácido acetil salicílico,Adrenalina,Alprazolam,Amiodarona,Anticoagulante,Betabloquedores,Cefazolina,Clindamicina,Cloruro de potasio,Cloxaciclina,Digoxina,Dobutamina,Dopamina,Enalapril,Espironolactona,Fierro,Furosemida,Gentamicina,Heparina Bajo Peso Molecular,Heparina estándar,Inhibidores de la bomba de protones,Ketoprofeno,Losartan,Milrinona,Morfina,Nitroprusiato sódico,Paracetamol,Penicilina sódica,Potasio,Vancomicina,,,,,,,,,,,,,,,,,,,,,,,,,
75,TRASTORNO BIPOLAR,Ácido Valproico,Aripiprazol,Bupropión,Carbamazepina,Carbonato de Litio,Fluoxetina,Haloperidol,Lamotrigina,Lorazepam,Olanzapina,Paroxetina,Risperidona,Venlafaxina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,HIPOTIROIDISMO EN PERSONAS DE 15 AÑOS Y MÁS,Levotiroxina T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,LUPUS ERITEMATOSO SISTEMICO,Acenocumarol ,Ácido acetil salicílico ,Ácido fólico ,Azatioprina ,Calcio + vitamina D ,Ciclofosfamida ,Diclofenaco ,Heparina ,Hidrocortisona ,Hidroxicloroquina ,Inhibidor de la bomba de H+ ,Inmunoglobulina ,Metilprednisolona ,Metotrexao ,Micofenolato ,Neosintron ,Prednisona,Rituximab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,TRATAMIENTO QUIRÚRGICO DE LESIONES CRÓNICAS DE LAS VÁLVULAS MITRAL Y TRICÚSPIDE EN PERSONAS DE 15 AÑOS Y MÁS,Ácido acetil salicílico ,Adrenalina ,Alprazolam ,Amiodarona ,Anticoagulante ,Betabloquedores ,Cefazolina ,Clindamicina ,Cloruro de potasio,Dobutamina ,Dopamina ,Enalapril ,Espironolactona ,Fierro ,Furosemida ,Heparina estándar ,Inhibidor de la bomba de protones ,Ketoprofeno ,Losartan ,Milrinona ,Morfina ,Nitroprusiato sódico ,Paracetamol ,Potasio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,TRATAMIENTO DE ERRADICACIÓN DEL HELICOBACTER PYLORI,Amoxicilina ,Claritromicina,Metronidazol ,Omeprazol ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
